trial_id,condition,planner,success,truth_path_available,dynamic_inserted,oracle_state,predicted_state,decision_correct,latency_ms,expansions,path_length,truth_path_length,path_length_ratio,clearance_cells,collisions,perception_precision,perception_recall,perception_f1
47,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,18.720949,2664,70.468037,70.468037,1.000000,1.000000,0,0.955257,0.940529,0.947836
47,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,1.379377,134,70.468037,70.468037,1.000000,1.000000,0,0.955257,0.940529,0.947836
47,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.578808,52,70.468037,70.468037,1.000000,1.000000,0,0.955257,0.940529,0.947836
48,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,16.911463,2577,71.639610,71.053824,1.008244,1.000000,0,0.971751,0.926391,0.948529
48,cluttered_static,a_star,0,1,0,SLOW,STOP,0,1.477471,222,71.639610,71.053824,1.008244,1.000000,1,0.971751,0.926391,0.948529
48,cluttered_static,weighted_a_star,0,1,0,SLOW,STOP,0,0.412588,55,72.225397,71.053824,1.016489,1.000000,1,0.971751,0.926391,0.948529
49,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,13.267285,2562,70.468037,70.468037,1.000000,1.000000,0,0.954212,0.940433,0.947273
49,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,1.042300,154,70.468037,70.468037,1.000000,1.000000,0,0.954212,0.940433,0.947273
49,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.423541,53,71.053824,70.468037,1.008313,1.000000,0,0.954212,0.940433,0.947273
50,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,18.942353,2617,71.053824,71.053824,1.000000,1.000000,0,0.959350,0.938370,0.948744
50,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,1.458360,206,71.053824,71.053824,1.000000,1.000000,0,0.959350,0.938370,0.948744
50,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.478994,56,71.053824,71.053824,1.000000,1.000000,0,0.959350,0.938370,0.948744
51,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,50.942477,2565,71.053824,71.053824,1.000000,1.000000,0,0.974453,0.943463,0.958707
51,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,12.296709,179,71.053824,71.053824,1.000000,1.000000,0,0.974453,0.943463,0.958707
51,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.558123,54,71.053824,71.053824,1.000000,1.000000,0,0.974453,0.943463,0.958707
52,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,18.373374,2647,70.468037,70.468037,1.000000,1.000000,0,0.954048,0.954048,0.954048
52,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,1.835311,154,70.468037,70.468037,1.000000,1.000000,0,0.954048,0.954048,0.954048
52,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.669443,53,70.468037,70.468037,1.000000,1.000000,0,0.954048,0.954048,0.954048
53,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,17.953437,2592,71.639610,71.639610,1.000000,1.000000,0,0.944444,0.948077,0.946257
53,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,2.367389,265,71.639610,71.639610,1.000000,1.000000,0,0.944444,0.948077,0.946257
53,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.572557,56,72.225397,71.639610,1.008177,1.000000,0,0.944444,0.948077,0.946257
54,cluttered_static,dijkstra_navfn_style,0,1,0,SLOW,STOP,0,17.433130,2534,71.053824,71.639610,0.991823,1.000000,1,0.949123,0.966071,0.957522
54,cluttered_static,a_star,0,1,0,SLOW,STOP,0,1.487332,169,71.053824,71.639610,0.991823,1.000000,2,0.949123,0.966071,0.957522
54,cluttered_static,weighted_a_star,0,1,0,SLOW,STOP,0,0.610980,54,71.053824,71.639610,0.991823,1.000000,2,0.949123,0.966071,0.957522
55,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,18.518858,2601,70.468037,70.468037,1.000000,1.000000,0,0.956693,0.958580,0.957635
55,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,1.189422,128,70.468037,70.468037,1.000000,1.000000,0,0.956693,0.958580,0.957635
55,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.565609,53,70.468037,70.468037,1.000000,1.000000,0,0.956693,0.958580,0.957635
56,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,17.784076,2577,69.882251,69.882251,1.000000,1,0,0.962406,0.925859,0.943779
56,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,1.241210,133,69.882251,69.882251,1.000000,1,0,0.962406,0.925859,0.943779
56,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.567798,54,70.468037,69.882251,1.008382,1.000000,0,0.962406,0.925859,0.943779
57,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,17.405340,2542,71.053824,70.468037,1.008313,1.000000,0,0.952548,0.971326,0.961846
57,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,1.657722,184,71.053824,70.468037,1.008313,1.000000,0,0.952548,0.971326,0.961846
57,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.581859,54,71.639610,70.468037,1.016626,1.000000,0,0.952548,0.971326,0.961846
58,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,22.266862,2545,71.053824,71.053824,1.000000,1.000000,0,0.953901,0.955595,0.954747
58,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,1.559379,166,71.053824,71.053824,1.000000,1.000000,0,0.953901,0.955595,0.954747
